"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","45809","loginAndCheckoutFlow","POS Suite","2026-03-13","passed","2026-03-13","Testcases.Transaction1","POS Test - User1","Testcases.Transaction1","loginAndCheckoutFlow"
"","71559","NegativeExchanges","POS Suite","2026-03-13","passed","2026-03-13","Testcases.Exchanges","POS Test - User2","Testcases.Exchanges","NegativeExchanges"
"","11389","verifyTransactionOrderNumber","POS Suite","2026-03-13","passed","2026-03-13","Testcases.Transaction1","POS Test - User1","Testcases.Transaction1","verifyTransactionOrderNumber"
"","58954","verifyReturnFlow","POS Suite","2026-03-13","passed","2026-03-13","Testcases.Return","POS Test - User2","Testcases.Return","verifyReturnFlow"
"","63273","validateitemdata","POS Suite","2026-03-13","passed","2026-03-13","Testcases.Transaction1","POS Test - User1","Testcases.Transaction1","validateitemdata"
"","90027","EqualExchanges","POS Suite","2026-03-13","broken","2026-03-13","Testcases.Exchanges","POS Test - User1","Testcases.Exchanges","EqualExchanges"
"","64716","verifyReturnFlow","POS Suite","2026-03-13","passed","2026-03-13","Testcases.Return","POS Test - User1","Testcases.Return","verifyReturnFlow"
"","66608","validateitemdata","POS Suite","2026-03-13","passed","2026-03-13","Testcases.Transaction1","POS Test - User2","Testcases.Transaction1","validateitemdata"
"","72832","PositiveExchanges","POS Suite","2026-03-13","passed","2026-03-13","Testcases.Exchanges","POS Test - User2","Testcases.Exchanges","PositiveExchanges"
"","44839","loginAndCheckoutFlow","POS Suite","2026-03-13","passed","2026-03-13","Testcases.Transaction1","POS Test - User2","Testcases.Transaction1","loginAndCheckoutFlow"
"","67816","NegativeExchanges","POS Suite","2026-03-13","passed","2026-03-13","Testcases.Exchanges","POS Test - User1","Testcases.Exchanges","NegativeExchanges"
"","71354","PositiveExchanges","POS Suite","2026-03-13","passed","2026-03-13","Testcases.Exchanges","POS Test - User1","Testcases.Exchanges","PositiveExchanges"
"","94164","EqualExchanges","POS Suite","2026-03-13","broken","2026-03-13","Testcases.Exchanges","POS Test - User2","Testcases.Exchanges","EqualExchanges"
"","9443","verifyTransactionOrderNumber","POS Suite","2026-03-13","passed","2026-03-13","Testcases.Transaction1","POS Test - User2","Testcases.Transaction1","verifyTransactionOrderNumber"
